level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	22	1	0	0	453	1414	432	1	-1	
4	1	22	1	1	0	453	1414	432	1	-1	
5	1	22	1	1	1	453	1414	432	1	95	 
2	1	23	0	0	0	883	1213	3	257	-1	
3	1	23	1	0	0	883	1213	3	257	-1	
4	1	23	1	1	0	883	1213	3	257	-1	
5	1	23	1	1	1	883	1213	3	257	95	 
2	1	24	0	0	0	159	1422	716	42	-1	
3	1	24	1	0	0	159	1422	716	42	-1	
4	1	24	1	1	0	159	1422	716	42	-1	
5	1	24	1	1	1	159	1422	112	42	90	Country:
5	1	24	1	1	2	838	1425	37	34	60	=1
2	1	25	0	0	0	453	1469	432	1	-1	
3	1	25	1	0	0	453	1469	432	1	-1	
4	1	25	1	1	0	453	1469	432	1	-1	
5	1	25	1	1	1	453	1469	432	1	95	 
2	1	26	0	0	0	160	1512	508	42	-1	
3	1	26	1	0	0	160	1512	508	42	-1	
4	1	26	1	1	0	160	1512	508	42	-1	
5	1	26	1	1	1	160	1512	106	42	91	Gender:
5	1	26	1	1	2	466	1512	55	42	92	Man
5	1	26	1	1	3	631	1515	37	34	29	]
2	1	27	0	0	0	453	1594	217	2	-1	
3	1	27	1	0	0	453	1594	217	2	-1	
4	1	27	1	1	0	453	1594	217	2	-1	
5	1	27	1	1	1	453	1594	217	2	95	 
2	1	28	0	0	0	452	1213	3	438	-1	
3	1	28	1	0	0	452	1213	3	438	-1	
4	1	28	1	1	0	452	1213	3	438	-1	
5	1	28	1	1	1	452	1213	3	438	95	 
2	1	29	0	0	0	160	1612	353	29	-1	
3	1	29	1	0	0	160	1612	353	29	-1	
4	1	29	1	1	0	160	1612	353	29	-1	
5	1	29	1	1	1	160	1612	86	29	90	Height
5	1	29	1	1	2	257	1612	65	28	90	(cm):
5	1	29	1	1	3	465	1612	48	22	96	150
2	1	30	0	0	0	668	1594	2	57	-1	
3	1	30	1	0	0	668	1594	2	57	-1	
4	1	30	1	1	0	668	1594	2	57	-1	
5	1	30	1	1	1	668	1594	2	57	95	 
2	1	31	0	0	0	453	1650	217	1	-1	
3	1	31	1	0	0	453	1650	217	1	-1	
4	1	31	1	1	0	453	1650	217	1	-1	
5	1	31	1	1	1	453	1650	217	1	95	 
2	1	32	0	0	0	160	1692	329	35	-1	
3	1	32	1	0	0	160	1692	329	35	-1	
4	1	32	1	1	0	160	1692	329	35	-1	
5	1	32	1	1	1	160	1698	91	29	92	Driving
5	1	32	1	1	2	264	1698	109	23	92	License:
5	1	32	1	1	3	455	1692	34	34	40	C]
2	1	33	0	0	0	159	1774	1171	78	-1	
3	1	33	1	0	0	159	1774	1171	74	-1	
4	1	33	1	1	0	161	1774	577	29	-1	
5	1	33	1	1	1	161	1774	3	23	55	I
5	1	33	1	1	2	176	1774	80	29	91	speak
5	1	33	1	1	3	266	1774	48	23	90	and
5	1	33	1	1	4	326	1774	150	23	90	understand
5	1	33	1	1	5	488	1774	54	29	92	(tick
5	1	33	1	1	6	551	1774	28	23	92	all
5	1	33	1	1	7	590	1774	50	23	91	that
5	1	33	1	1	8	650	1774	88	29	45	apply):
4	1	33	1	2	0	159	1811	1171	41	-1	
5	1	33	1	2	1	159	1814	35	34	68	[]
5	1	33	1	2	2	206	1819	108	23	90	Deutsch
5	1	33	1	2	3	476	1811	95	41	92	English
5	1	33	1	2	4	698	1814	35	34	64	[]
5	1	33	1	2	5	745	1819	114	29	91	Frangais
5	1	33	1	2	6	951	1814	34	34	61	[]
5	1	33	1	2	7	998	1819	136	29	89	Esperanto
5	1	33	1	2	8	1221	1814	34	34	75	[]
5	1	33	1	2	9	1267	1819	63	23	91	Latin
2	1	34	0	0	0	160	1910	223	23	-1	
3	1	34	1	0	0	160	1910	223	23	-1	
4	1	34	1	1	0	160	1910	223	23	-1	
5	1	34	1	1	1	160	1910	125	23	91	Favourite
5	1	34	1	1	2	295	1910	88	23	84	colour:
2	1	35	0	0	0	449	1889	460	64	-1	
3	1	35	1	0	0	449	1889	460	64	-1	
4	1	35	1	1	0	449	1889	460	64	-1	
5	1	35	1	1	1	449	1889	460	64	95	 
2	1	36	0	0	0	160	2060	890	29	-1	
3	1	36	1	0	0	160	2060	890	29	-1	
4	1	36	1	1	0	160	2060	890	29	-1	
5	1	36	1	1	1	160	2060	146	29	90	Important:
5	1	36	1	1	2	319	2060	67	23	91	Save
5	1	36	1	1	3	396	2060	41	23	91	the
5	1	36	1	1	4	448	2060	138	29	91	completed
5	1	36	1	1	5	598	2060	58	23	90	PDF
5	1	36	1	1	6	666	2060	59	23	92	form
5	1	36	1	1	7	737	2060	57	29	91	(use
5	1	36	1	1	8	805	2066	73	17	90	menu
5	1	36	1	1	9	890	2060	46	23	91	File
5	1	36	1	1	10	946	2073	9	3	93	—
5	1	36	1	1	11	966	2060	84	29	90	Save).
